filename,fundamental_hz,fundamental_note,dual_horn
bmw_x5_2023.wav,177.64892578125,F3 (+29 cents),
chevrolet_tahoe_2023.wav,538.330078125,C5 (+49 cents),656.7626953125
honda_civic_2023.wav,344.53125,F4 (-23 cents),
ford_escape_2023.wav,403.74755859375,G#4 (-48 cents),
tesla_model_s.wav,414.51416015625,G#4 (-3 cents),
hyundai_santa_fe_2023.wav,129.19921875,C3 (-21 cents),
chevrolet_corvette_2023.wav,769.81201171875,G5 (-31 cents),
nissan_rogue_2023.wav,301.46484375,D4 (+45 cents),
ford_f-150_2023.wav,516.796875,C5 (-21 cents),
chevrolet_malibu_2023.wav,511.41357421875,C5 (-39 cents),
toyota_rav4_2023.wav,247.6318359375,B4 (+4 cents),
kia_sorento_2023.wav,522.18017578125,C5 (-3 cents),678.2958984375
ford_bronco_2023.wav,495.263671875,B5 (+4 cents),
honda_hr-v_2023.wav,624.462890625,D#5 (+6 cents),479.11376953125
kia_sportage_2023.wav,430.6640625,A5 (-37 cents),
hyundai_tucson_2023.wav,489.88037109375,B5 (-14 cents),
bmw_x3_2023.wav,64.599609375,C2 (-21 cents),
nissan_pathfinder_2023.wav,430.6640625,A5 (-37 cents),322.998046875
toyota_tacoma_2023.wav,414.51416015625,G#4 (-3 cents),
honda_pilot_2023.wav,387.59765625,G4 (-19 cents),
nissan_sentra_2023.wav,662.14599609375,E5 (+7 cents),
chevrolet_equinox_2023.wav,500.64697265625,B5 (+23 cents),
mercedes_c-class_2023.wav,511.41357421875,C5 (-39 cents),
toyota_camry_2023.wav,484.4970703125,B5 (-33 cents),
toyota_highlander_2023.wav,543.71337890625,C#5 (-33 cents),
hyundai_sonata_2023.wav,436.04736328125,A5 (-15 cents),
bmw_3_series_2023.wav,398.3642578125,G4 (+27 cents),
honda_accord_2023.wav,403.74755859375,G#4 (-48 cents),
bmw_i4_2023.wav,500.64697265625,B5 (+23 cents),
mercedes_e-class_2023.wav,274.54833984375,C#4 (-16 cents),
kia_k5_2023.wav,629.84619140625,D#5 (+20 cents),
chevrolet_silverado_2023.wav,419.8974609375,G#4 (+19 cents),
tesla_model_x.wav,403.74755859375,G#4 (-48 cents),
tesla_model_y.wav,253.01513671875,B4 (+42 cents),
kia_telluride_2023.wav,511.41357421875,C5 (-39 cents),
mercedes_gle_2023.wav,247.6318359375,B4 (+4 cents),
nissan_frontier_2023.wav,500.64697265625,B5 (+23 cents),
mercedes_a-class_2023.wav,500.64697265625,B5 (+23 cents),
ford_mustang_2023.wav,495.263671875,B5 (+4 cents),
bmw_5_series_2023.wav,414.51416015625,G#4 (-3 cents),
tesla_cybertruck.wav,419.8974609375,G#4 (+19 cents),
kia_sorento_2023.webm,522.18017578125,C5 (-3 cents),678.2958984375
mercedes_gle_2023.webm,247.6318359375,B4 (+4 cents),
mercedes_a-class_2023.webm,500.64697265625,B5 (+23 cents),
hyundai_santa_fe_2023.webm,129.19921875,C3 (-21 cents),
nissan_rogue_2023.webm,301.46484375,D4 (+45 cents),
kia_telluride_2023.webm,511.41357421875,C5 (-39 cents),
chevrolet_corvette_2023.webm,769.81201171875,G5 (-31 cents),
chevrolet_malibu_2023.webm,511.41357421875,C5 (-39 cents),
honda_hr-v_2023.webm,624.462890625,D#5 (+6 cents),479.11376953125
hyundai_tucson_2023.webm,489.88037109375,B5 (-14 cents),
bmw_3_series_2023.webm,398.3642578125,G4 (+27 cents),
ford_bronco_2023.webm,495.263671875,B5 (+4 cents),
toyota_tacoma_2023.webm,414.51416015625,G#4 (-3 cents),
kia_k5_2023.webm,629.84619140625,D#5 (+20 cents),
honda_accord_2023.webm,403.74755859375,G#4 (-48 cents),
honda_pilot_2023.webm,387.59765625,G4 (-19 cents),
ford_mustang_2023.webm,495.263671875,B5 (+4 cents),
mercedes_e-class_2023.webm,274.54833984375,C#4 (-16 cents),
tesla_model_y.webm,253.01513671875,B4 (+42 cents),
ford_f-150_2023.webm,516.796875,C5 (-21 cents),
kia_sportage_2023.webm,430.6640625,A5 (-37 cents),
nissan_pathfinder_2023.webm,430.6640625,A5 (-37 cents),322.998046875
hyundai_sonata_2023.webm,436.04736328125,A5 (-15 cents),
chevrolet_tahoe_2023.webm,538.330078125,C5 (+49 cents),656.7626953125
chevrolet_silverado_2023.webm,419.8974609375,G#4 (+19 cents),
toyota_highlander_2023.webm,543.71337890625,C#5 (-33 cents),
tesla_model_x.webm,403.74755859375,G#4 (-48 cents),
chevrolet_equinox_2023.webm,500.64697265625,B5 (+23 cents),
honda_civic_2023.webm,344.53125,F4 (-23 cents),
tesla_model_s.webm,414.51416015625,G#4 (-3 cents),
bmw_x5_2023.webm,177.64892578125,F3 (+29 cents),
tesla_cybertruck.webm,419.8974609375,G#4 (+19 cents),
toyota_rav4_2023.webm,247.6318359375,B4 (+4 cents),
nissan_frontier_2023.webm,500.64697265625,B5 (+23 cents),
ford_escape_2023.webm,403.74755859375,G#4 (-48 cents),
mercedes_c-class_2023.webm,511.41357421875,C5 (-39 cents),
bmw_i4_2023.webm,500.64697265625,B5 (+23 cents),
bmw_x3_2023.webm,64.599609375,C2 (-21 cents),
bmw_5_series_2023.webm,414.51416015625,G#4 (-3 cents),
nissan_sentra_2023.webm,662.14599609375,E5 (+7 cents),
toyota_camry_2023.webm,484.4970703125,B5 (-33 cents),
